"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"Z0120C0","市高往東  中華承德",72.34146,7,42.5,0,121.507057986923,25.0504089798186,121.514669994797,25.0488470329132,2016-05-06,"12_20"
"2",2,"Z0150C1","市高往東  敦化上方",73.68889,3.3333333,45.5,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-06,"12_20"
"3",3,"Z03C0G0","市高往西  復興建國",59.782608,9,49,1,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-06,"12_20"
"4",4,"Z03D0G0","市高往西  新生林森",61.463413,3.6666667,42,1,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-06,"12_20"
"5",5,"Z1001B0","建國快往北 辛亥高架接建高",46.5,5.5,12.5,1,121.536995038696,25.0228289705983,121.53770600753,25.0229289599307,2016-05-06,"12_20"
"6",6,"Z1010A0","建國快往北 辛亥信義",80,7.6666665,45.5,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-06,"12_20"
"7",7,"Z1010A1","建國快往北 和平信義",84.10909,8.666667,57.5,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-06,"12_20"
"8",8,"Z1011A0","建國快往北 信義路上匝道",46,17,28,0,121.537818032218,25.0344000079271,121.53806600958,25.0355689692847,2016-05-06,"12_20"
"9",9,"Z10E2A0","建國快往北 南京東路下匝道",16,56,10.5,0,121.537031988413,25.0497290015224,121.537171960091,25.050782973455,2016-05-06,"12_20"
"10",10,"Z1280E0","建國快往南 信義和平",63.285713,12,39,0,121.537580011017,25.034604994102,121.537365024448,25.0277679879518,2016-05-06,"12_20"
"11",11,"Z1290E0","建國快往南 和平辛亥",57.857143,11,33,1,121.537365024448,25.0277679879518,121.53728803944,25.0240599764049,2016-05-06,"12_20"
"12",12,"Z12C2E0","建國快往南 忠孝東路下匝道",13.25,41.5,21,2,121.536372990119,25.0430219911443,121.536485987571,25.0418200366026,2016-05-06,"12_20"
"13",13,"Z12G2E0","建國快往南 辛亥路下匝道",59.8,5.5,25,0,121.53728803944,25.0240599764049,121.53759697438,25.0222600110569,2016-05-06,"12_20"
"14",14,"Z2101B0","基隆快往東 水快上匝道",44,18,30,0,121.534551026926,25.0064900369957,121.530827029155,25.0209600054365,2016-05-06,"12_20"
"15",15,"ZEFM0C0","基隆快往東 辛亥下匝道",54.142857,2,7,0,121.544666015207,25.0173669632625,121.546649048669,25.0191459845886,2016-05-06,"12_20"
"16",16,"Z2310G0","基隆快往西 樂業敦化",65,11,23.5,0,121.550230044874,25.022392005194,121.547075954271,25.0194510083942,2016-05-06,"12_20"
"17",17,"Z2311G0","基隆快往西 敦化上匝道",33,4,5,0,121.548697955585,25.0209529930949,121.547075954271,25.0194510083942,2016-05-06,"12_20"
"18",18,"Z2321G0","基隆快往西 羅斯福路上匝道",52,7,13.5,0,121.540373965139,25.013833044365,121.544658976273,25.0173659959567,2016-05-06,"12_20"
"19",19,"Z2330G0","基隆快往西 羅斯福水源",73.5,3,16,0,121.544658976273,25.0173659959567,121.530824034973,25.0209549603874,2016-05-06,"12_20"
"20",20,"Z3310G0","辛亥高架 建高接辛高",42.22222,12,18,1,121.535665953559,25.022585041419,121.535348970526,25.0225820303175,2016-05-06,"12_20"
"21",21,"Z4010A0","水源快往北 中正路-景美",57.759495,13.333333,79.5,0,121.537137968395,24.9900590035432,121.535866990787,24.995892962813,2016-05-06,"12_20"
"22",22,"Z4011A0","水源快往北 景美上匝道",79,5,11,0,121.539924954984,24.9996249638555,121.535866990787,24.995892962813,2016-05-06,"12_20"
"23",23,"Z4031A0","水源快往北 福和橋上匝道",57,1,2,0,121.530617011823,25.0081510342297,121.53337597531,25.008194972905,2016-05-06,"12_20"
"24",24,"Z4040H0","水源快往北 福和橋-師大路",54.153847,6.5,13.5,0,121.53337597531,25.008194972905,121.522921040872,25.0203360131995,2016-05-06,"12_20"
"25",25,"Z4081G0","水源快往北 萬大路上匝道",67,0.5,4,0,121.495850997188,25.0170060123111,121.493546960585,25.0188819622546,2016-05-06,"12_20"
"26",26,"Z2PK0E0","水源快往南 景美下匝道",50,8,15,0,121.535291969736,24.9960160097742,121.535838037846,24.996001043551,2016-05-06,"12_20"
"27",27,"Z4210D0","水源快往南 西園路-華中橋",66.916664,3.6666667,24,0,121.490670975297,25.0240550372173,121.494897959806,25.0165149868655,2016-05-06,"12_20"
"28",28,"Z4231C0","水源快往南 富民街上匝道",20,3,2,1,121.500347043131,25.0180069774255,121.500586041983,25.0174489562607,2016-05-06,"12_20"
"29",29,"Z4271C0","水源快往南 中正橋上匝道",32,12,15,0,121.516420014929,25.0218210214711,121.517301026601,25.0212440410053,2016-05-06,"12_20"
"30",30,"Z42A0D0","水源快往南 師大路-永福橋",58.9,2.3333333,10.5,0,121.52318904069,25.0190460360213,121.526604004471,25.0136400414621,2016-05-06,"12_20"
"31",31,"Z42B1E0","水源快往南 基高上匝道",50,31,37.5,0,121.530824034973,25.0209549603874,121.533012969887,25.0077350276523,2016-05-06,"12_20"
"32",32,"Z42C0E0","水源快往南 基隆路-景美",68.333336,4.6666665,36.5,0,121.533012969887,25.0077350276523,121.535291969736,24.9960160097742,2016-05-06,"12_20"
"33",33,"Z42K2C0","水源快往南 華中橋下匝道",84,1,2,0,121.494897959806,25.0165149868655,121.495752005932,25.0165099750557,2016-05-06,"12_20"
"34",34,"Z5050A0","環河快往北 西園華江",65.666664,2.3333333,19,0,121.4909020335,25.0247749907051,121.491948992589,25.0363589545033,2016-05-06,"12_20"
"35",35,"Z5070A1","環河快往北  貴陽市民",66.545456,6.5,33,0,121.497868957546,25.0400649616175,121.505632045463,25.0479460104869,2016-05-06,"12_20"
"36",36,"Z5080A0","環河快往北 市民民生",62.764706,3,17,0,121.505632045463,25.0479460104869,121.508492028217,25.0570309650365,2016-05-06,"12_20"
"37",37,"Z50B0A0","環河快往北 酒泉敦煌",50.64516,13.333333,31.5,0,121.509256996901,25.0721649933788,121.508641013476,25.0767900150083,2016-05-06,"12_20"
"38",38,"Z5250E0","環河快往南 民生西-忠孝橋",50,8,30,0,121.508490045987,25.0570549865263,121.506820022925,25.0520699678275,2016-05-06,"12_20"
"39",39,"Z5270E0","環河快往南 忠孝橋-中興橋",48,1,2,0,121.503459020046,25.0468649631992,121.501675036559,25.0454489818402,2016-05-06,"12_20"
"40",40,"Z52B0E0","環河快往南 華江橋",72.054054,6.5,37,0,121.491098012531,25.0361979990397,121.488941968621,25.0336170151409,2016-05-06,"12_20"
"41",41,"Z52B1E0","環河快往南 華江橋上匝道",54,1,3,0,121.489444030584,25.0354040152171,121.488941968621,25.0336170151409,2016-05-06,"12_20"
"42",42,"Z52C0E0","環河快往南 華江橋-西藏路",106.25,1,8,0,121.488941968621,25.0336170151409,121.488264038685,25.0296530048539,2016-05-06,"12_20"
"43",43,"Z52C2E0","環河快往南 西藏路下匝道",38,5,5,0,121.490064014881,25.0304020134316,121.488264038685,25.0296530048539,2016-05-06,"12_20"
"44",44,"Z6120C0","環東出城　正氣橋",47.064518,6,31,1,121.568370994278,25.0472350435512,121.570605021905,25.0510110311818,2016-05-06,"12_20"
"45",45,"Z6151C0","環東出城　舊宗匝道",44,12,8,1,121.56613702014,25.051338962847,121.584862988947,25.0586160247397,2016-05-06,"12_20"
"46",46,"Z6160C1","環東出城  彩虹經貿1",39.642857,18,16,0,121.584862988947,25.0586160247397,121.616541008175,25.0625849622717,2016-05-06,"12_20"
"47",47,"Z6340G0","環東進城　舊宗新明",74.09091,3.5,22.5,0,121.584602985496,25.0590689905561,121.577017014874,25.055012037314,2016-05-06,"12_20"
"48",48,"Z8001H0","洲美往北　中正社中",74.25,4,25.5,0,121.501322045006,25.0905279940405,121.506718964987,25.0840970372638,2016-05-06,"12_20"
"49",49,"Z8010A0","洲美往北　社中通河",64.625,5,28.5,0,121.506718964987,25.0840970372638,121.498530964268,25.0990859660389,2016-05-06,"12_20"
"50",50,"Z8040A0","洲美往北　焚化廠北",94.15385,1.3333334,13.5,0,121.499039991332,25.1065160441939,121.493663023759,25.1217349827357,2016-05-06,"12_20"
"51",51,"Z8040A1","洲美往北   往大度",81.64286,0.6666667,14,0,121.499039991332,25.1065160441939,121.493663023759,25.1217349827357,2016-05-06,"12_20"
"52",52,"ZLGGYA0","洲美往北　北投匝道",55,0,2,0,121.499039991332,25.1065160441939,121.518394001597,25.0506200193959,2016-05-06,"12_20"
"53",53,"Z8220E1","洲美往南  焚化廠北",68.29412,3.3333333,34,0,121.499415011407,25.1164069706791,121.499410028525,25.1162300382646,2016-05-06,"12_20"
"54",54,"Z8250E0","洲美往南　跨河橋段",53.92857,1.25,16.5,0,121.498122950903,25.0993239617516,121.505457987033,25.0856429679772,2016-05-06,"12_20"
