"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"Z0111C0","市高往東  環河中華",44.594936,20.2,158,0,121.506955002167,25.0499479957493,121.507057986923,25.0504089798186,2016-05-12,"11_20"
"2",2,"Z0120C0","市高往東  中華承德",69.189186,9.7,224,1,121.507057986923,25.0504089798186,121.514669994797,25.0488470329132,2016-05-12,"11_20"
"3",3,"Z0130A0","市高往東  承德中山",72.34091,8.8,308,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-12,"11_20"
"4",4,"Z0130A1","市高往東  中山林森",73.532845,8.133333,275,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-12,"11_20"
"5",5,"Z0140C0","市高往東  新生建國",73.88789,9.7,223,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-12,"11_20"
"6",6,"Z0140C1","市高往東  建國復興",67.539474,10.1,235.5,1,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-12,"11_20"
"7",7,"Z0150C0","市高往東  復興敦化",70.03478,11.4,345,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-12,"11_20"
"8",8,"Z0150C1","市高往東  敦化上方",71.80556,0.73333335,72,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-12,"11_20"
"9",9,"Z0150C2","市高往東  敦化延吉",71.42126,7,254,1,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-12,"11_20"
"10",10,"Z0160C0","市高往東  延吉永吉",73.13018,6.3,169,1,121.557631047561,25.0447609827095,121.569229955283,25.0455460393449,2016-05-12,"11_20"
"11",11,"Z0380F0","正氣橋  麥一市民",70.13333,3.1,75,0,121.569772042499,25.0461890146634,121.569771009262,25.0459439976653,2016-05-12,"11_20"
"12",12,"Z0390G0","市高往西  永吉光復",67.05738,10.5,244,0,121.569771009262,25.0459439976653,121.567512021271,25.0458909827904,2016-05-12,"11_20"
"13",13,"Z03A0G1","市高往西  光復延吉",59.033558,17.1,298.5,1,121.567512021271,25.0458909827904,121.557667048171,25.0454680148637,2016-05-12,"11_20"
"14",14,"Z03B0G0","市高往西  延吉復興",77.21831,6.0666666,287,0,121.557667048171,25.0454680148637,121.536126020332,25.0450250384754,2016-05-12,"11_20"
"15",15,"Z03C0G0","市高往西  復興建國",58.68077,8.2,261.5,1,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-12,"11_20"
"16",16,"Z03C0G1","市高往西  建國新生",71.325584,9.7,215,0,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-12,"11_20"
"17",17,"Z03D0G0","市高往西  新生林森",68.90909,2.9333332,178,1,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-12,"11_20"
"18",18,"Z03D0G1","市高往西  林森中山",67.200714,8.200001,279,1,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-12,"11_20"
"19",19,"Z03E0G0","市高往西  承德重慶",62.288208,11.3,229.5,1,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-05-12,"11_20"
"20",20,"Z03E0G1","市高往西  重慶中華",48.64542,9.3,252.5,1,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-05-12,"11_20"
"21",21,"Z5062G0","市高往西  中華環河",51,12,120,1,121.507228991091,25.0510220354424,121.497868957546,25.0400649616175,2016-05-12,"11_20"
"22",22,"Z1001B0","建國快往北 辛亥高架接建高",91.05173,2.3,58,0,121.536995038696,25.0228289705983,121.53770600753,25.0229289599307,2016-05-12,"11_20"
"23",23,"Z1010A0","建國快往北 辛亥信義",76.06967,9.000001,266,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-12,"11_20"
"24",24,"Z1010A1","建國快往北 和平信義",81.87081,6.8666663,223,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-12,"11_20"
"25",25,"Z1011A0","建國快往北 信義路上匝道",43.822582,8.2,62.5,0,121.537818032218,25.0344000079271,121.53806600958,25.0355689692847,2016-05-12,"11_20"
"26",26,"Z1020A0","建國快往北 信義仁愛",68.0449,6.9333334,245,0,121.53806600958,25.0355689692847,121.537962958846,25.0357070206232,2016-05-12,"11_20"
"27",27,"Z1030A0","建國快往北 仁愛忠孝",59.98122,8.866667,215.5,0,121.537962958846,25.0357070206232,121.53712002298,25.0420240374186,2016-05-12,"11_20"
"28",28,"Z1040A0","建國快往北 忠孝長安",67.95206,12.266667,320.5,0,121.53712002298,25.0420240374186,121.536836031321,25.0460820090283,2016-05-12,"11_20"
"29",29,"Z1050A0","建國快往北 南京東路",75.522934,4.8666663,219.5,0,121.537031988413,25.0497290015224,121.536885031022,25.0495280262993,2016-05-12,"11_20"
"30",30,"Z1060A0","建國快往北 南京民權",74.00766,9.133333,264,0,121.536885031022,25.0495280262993,121.537105027258,25.061757993861,2016-05-12,"11_20"
"31",31,"Z1070A0","建國快往北 民權民族",72.37241,17.6,330,0,121.537105027258,25.061757993861,121.534361045097,25.0672949565866,2016-05-12,"11_20"
"32",32,"Z1080A0","建國快往北 民族濱江",70.36264,4.7,93,0,121.534361045097,25.0672949565866,121.533422973875,25.0689429692608,2016-05-12,"11_20"
"33",33,"Z10D2A0","建國快往北 民權東路下匝道",52.15625,11.8,96.5,0,121.537105027258,25.061757993861,121.537488045992,25.06147096043,2016-05-12,"11_20"
"34",34,"Z10E2A0","建國快往北 南京東路下匝道",49.1,7.6,70.5,0,121.537031988413,25.0497290015224,121.537171960091,25.050782973455,2016-05-12,"11_20"
"35",35,"Z1210E0","建國快往南 濱江民權",41.169292,26.6,273,1,121.533418991878,25.0689390112276,121.53435399476,25.0672920027059,2016-05-12,"11_20"
"36",36,"Z1220E0","建國快往南 民權東路",70.904564,13,247.5,0,121.53435399476,25.0672920027059,121.536693985588,25.0612780140168,2016-05-12,"11_20"
"37",37,"Z1221E0","建國快往南 民權上匝道",39.245613,6.8,57,0,121.536437036293,25.0617689851535,121.536693985588,25.0612780140168,2016-05-12,"11_20"
"38",38,"Z1230E0","建國快往南 民權長春",71.06826,11.2,306.5,0,121.536693985588,25.0612780140168,121.536592989789,25.0533579739567,2016-05-12,"11_20"
"39",39,"Z1231E0","建國快往南 長春路上匝道",46.987343,9,79,0,121.536882030345,25.0561880388567,121.536592989789,25.0533579739567,2016-05-12,"11_20"
"40",40,"Z1240E0","建國快往南 長春長安",56.289474,11.2,304,1,121.536592989789,25.0533579739567,121.536352037032,25.0461559817578,2016-05-12,"11_20"
"41",41,"Z1241E0","建國快往南 長安東路上匝道",39.918034,4.4,61.5,0,121.53670903176,25.0483700001353,121.536352037032,25.0461559817578,2016-05-12,"11_20"
"42",42,"Z1250E0","建國快往南 長安忠孝",74.41758,9.866667,285.5,0,121.536352037032,25.0461559817578,121.536372990119,25.0430219911443,2016-05-12,"11_20"
"43",43,"Z1260E0","建國快往南 忠孝仁愛",69.787315,9.933333,273,0,121.536372990119,25.0430219911443,121.537569973104,25.0395320152659,2016-05-12,"11_20"
"44",44,"Z1270E0","建國快往南 仁愛信義",72.02564,8.333333,238,0,121.537569973104,25.0395320152659,121.537580011017,25.034604994102,2016-05-12,"11_20"
"45",45,"Z1280E0","建國快往南 信義和平",65.310814,9.6,162.5,0,121.537580011017,25.034604994102,121.537365024448,25.0277679879518,2016-05-12,"11_20"
"46",46,"Z1290E0","建國快往南 和平辛亥",59.774868,14.5,219.5,1,121.537365024448,25.0277679879518,121.53728803944,25.0240599764049,2016-05-12,"11_20"
"47",47,"Z12B2E0","建國快往南 民權下匝道",29.175,43.6,82,0,121.53435399476,25.0672920027059,121.535397954012,25.0655879895417,2016-05-12,"11_20"
"48",48,"Z12C2E0","建國快往南 忠孝東路下匝道",32.843285,6.6,136,0,121.536372990119,25.0430219911443,121.536485987571,25.0418200366026,2016-05-12,"11_20"
"49",49,"Z12D2E0","建國快往南 仁愛路下匝道",59.0597,6,67.5,0,121.537569973104,25.0395320152659,121.537391996702,25.0387139928824,2016-05-12,"11_20"
"50",50,"Z12F2E0","建國快往南 和平東路下匝道",48.69388,4.8,49,0,121.537365024448,25.0277679879518,121.536989035092,25.026846043666,2016-05-12,"11_20"
"51",51,"Z12G2E0","建國快往南 辛亥路下匝道",14,5.5,3,2,121.53728803944,25.0240599764049,121.53759697438,25.0222600110569,2016-05-12,"11_20"
"52",52,"Z2101B0","基隆快往東 水快上匝道",52.960396,11.2,102.5,0,121.534551026926,25.0064900369957,121.530827029155,25.0209600054365,2016-05-12,"11_20"
"53",53,"Z2110C0","基隆快往東 水源辛亥",72.20388,3.9,103.5,0,121.530827029155,25.0209600054365,121.544666015207,25.0173669632625,2016-05-12,"11_20"
"54",54,"Z2120C0","基隆快往東 辛亥敦化",69.25,4,92,0,121.544666015207,25.0173669632625,121.547078966678,25.0194600254024,2016-05-12,"11_20"
"55",55,"Z2130C0","基隆快往東 敦化樂業",58.649124,6,57.5,0,121.547078966678,25.0194600254024,121.550236016768,25.0223980319086,2016-05-12,"11_20"
"56",56,"ZEFM0C0","基隆快往東 辛亥下匝道",38.2549,4.7,52,0,121.544666015207,25.0173669632625,121.546649048669,25.0191459845886,2016-05-12,"11_20"
"57",57,"ZEWN0C0","基隆快往東 敦化下匝道",31.09804,43.5,51,0,121.547078966678,25.0194600254024,121.548697955585,25.0209529930949,2016-05-12,"11_20"
"58",58,"Z2310G0","基隆快往西 樂業敦化",64.35135,6.2,74.5,0,121.550230044874,25.022392005194,121.547075954271,25.0194510083942,2016-05-12,"11_20"
"59",59,"Z2311G0","基隆快往西 敦化上匝道",38.153847,3,13,0,121.548697955585,25.0209529930949,121.547075954271,25.0194510083942,2016-05-12,"11_20"
"60",60,"Z2320G0","基隆快往西 敦化羅斯福",61.333332,0.75,3,0,121.547075954271,25.0194510083942,121.544658976273,25.0173659959567,2016-05-12,"11_20"
"61",61,"Z2321G0","基隆快往西 羅斯福路上匝道",93.666664,6,52,0,121.540373965139,25.013833044365,121.544658976273,25.0173659959567,2016-05-12,"11_20"
"62",62,"Z2330G0","基隆快往西 羅斯福水源",69.478264,1.6,46,0,121.544658976273,25.0173659959567,121.530824034973,25.0209549603874,2016-05-12,"11_20"
"63",63,"Z3110C0","辛亥高架 汀州路地下道",50.09859,4.0666666,142,0,121.530689984473,25.0209799954032,121.533310973508,25.0225279642767,2016-05-12,"11_20"
"64",64,"Z3120C0","辛亥高架 泰順新生",70.74419,5,129.5,0,121.533310973508,25.0225279642767,121.535352972987,25.0225910440046,2016-05-12,"11_20"
"65",65,"Z3132C0","辛亥高架 辛亥路下匝道",67.51852,1.5,28,0,121.535352972987,25.0225910440046,121.536995038696,25.0228289705983,2016-05-12,"11_20"
"66",66,"Z3310G0","辛亥高架 建高接辛高",60.504066,5.1,123.5,0,121.535665953559,25.022585041419,121.535348970526,25.0225820303175,2016-05-12,"11_20"
"67",67,"Z4010A0","水源快往北 中正路-景美",61.45361,6.0666666,197,0,121.537137968395,24.9900590035432,121.535866990787,24.995892962813,2016-05-12,"11_20"
"68",68,"Z4011A0","水源快往北 景美上匝道",30,10.5,50,1,121.539924954984,24.9996249638555,121.535866990787,24.995892962813,2016-05-12,"11_20"
"69",69,"Z4020A0","水源快往北 景美-基隆快",56.190243,7.466666,207.5,0,121.535866990787,24.995892962813,121.534551026926,25.0064900369957,2016-05-12,"11_20"
"70",70,"Z4031A0","水源快往北 福和橋上匝道",50.666668,0.8,6,0,121.530617011823,25.0081510342297,121.53337597531,25.008194972905,2016-05-12,"11_20"
