"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"ZMAR840","三民路    民生東路-南京東路",49,6,6.5,0,121.563595975985,25.0568559981804,121.563871020332,25.0541290298898,2016-05-27,"14_15"
"2",2,"ZMTR600","三民路    南京東路-民生東路",70,5,9.5,0,121.563871020332,25.0541290298898,121.563595975985,25.0568559981804,2016-05-27,"14_15"
"3",3,"Z7JCE40","大業路    中央北路-承德路",55.545456,1,11,0,121.497173973346,25.1360519600889,121.496304977611,25.1345019669943,2016-05-27,"14_15"
"4",4,"ZILPI20","仁愛路   光復南路-敦化南路",51.588234,4.6666665,17.5,0,121.552935023966,25.0377569602288,121.555442046408,25.0377109564045,2016-05-27,"14_15"
