"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"Z0111C0","市高往東  環河中華",44.753426,18.4,146,0,121.506955002167,25.0499479957493,121.507057986923,25.0504089798186,2016-05-20,"08_30"
"2",2,"Z0120C0","市高往東  中華承德",62.605537,9.6,292.5,1,121.507057986923,25.0504089798186,121.514669994797,25.0488470329132,2016-05-20,"08_30"
"3",3,"Z0130A0","市高往東  承德中山",70.46491,10.599999,342.5,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-20,"08_30"
"4",4,"Z0130A1","市高往東  中山林森",70.39577,10.2,332,1,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-20,"08_30"
"5",5,"Z0140C0","市高往東  新生建國",70.76071,12.5,280,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-20,"08_30"
"6",6,"Z0140C1","市高往東  建國復興",65.981415,12.5,279.5,1,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-20,"08_30"
"7",7,"Z0150C0","市高往東  復興敦化",62.759907,16,429.5,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-20,"08_30"
"8",8,"Z0150C1","市高往東  敦化上方",70.85398,3.7333336,229,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-20,"08_30"
"9",9,"Z0150C2","市高往東  敦化延吉",69.30794,9.133333,315,1,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-20,"08_30"
"10",10,"Z0160C0","市高往東  延吉永吉",69.6129,10.1,248,1,121.557631047561,25.0447609827095,121.569229955283,25.0455460393449,2016-05-20,"08_30"
"11",11,"Z0380F0","正氣橋  麥一市民",62.929577,5.2,72.5,0,121.569772042499,25.0461890146634,121.569771009262,25.0459439976653,2016-05-20,"08_30"
