"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"Z0111C0","市高往東  環河中華",42.854546,13.5,110.5,0,121.506955002167,25.0499479957493,121.507057986923,25.0504089798186,2016-05-26,"19_15"
"2",2,"Z0120C0","市高往東  中華承德",60.83978,6.6,184,1,121.507057986923,25.0504089798186,121.514669994797,25.0488470329132,2016-05-26,"19_15"
"3",3,"Z0130A0","市高往東  承德中山",74.204346,6.4,230,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-26,"19_15"
"4",4,"Z0130A1","市高往東  中山林森",75.63595,5.8666663,217,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-26,"19_15"
"5",5,"Z0140C0","市高往東  新生建國",76.89412,6.7,170,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-26,"19_15"
"6",6,"Z0140C1","市高往東  建國復興",67.51913,7.4,186,1,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-26,"19_15"
"7",7,"Z0150C0","市高往東  復興敦化",67.89744,10.533333,312,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-26,"19_15"
"8",8,"Z0150C1","市高往東  敦化上方",64.72385,8.866667,282,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-26,"19_15"
"9",9,"Z0150C2","市高往東  敦化延吉",70.915054,7.1333337,259,1,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-26,"19_15"
"10",10,"Z0160C0","市高往東  延吉永吉",71.76887,8.4,212,1,121.557631047561,25.0447609827095,121.569229955283,25.0455460393449,2016-05-26,"19_15"
"11",11,"Z0380F0","正氣橋  麥一市民",67.48,2.4,50,0,121.569772042499,25.0461890146634,121.569771009262,25.0459439976653,2016-05-26,"19_15"
"12",12,"Z0390G0","市高往西  永吉光復",64.19546,10.7,220,0,121.569771009262,25.0459439976653,121.567512021271,25.0458909827904,2016-05-26,"19_15"
