"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"Z0111C0","市高往東  環河中華",40.56129,17.2,155,0,121.506955002167,25.0499479957493,121.507057986923,25.0504089798186,2016-04-28,"17_00"
"2",2,"Z0120C0","市高往東  中華承德",62.385418,7.3,194,1,121.507057986923,25.0504089798186,121.514669994797,25.0488470329132,2016-04-28,"17_00"
"3",3,"Z0130A0","市高往東  承德中山",71.15309,8.933333,307,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-04-28,"17_00"
"4",4,"Z0130A1","市高往東  中山林森",71.92042,8.733333,289,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-04-28,"17_00"
"5",5,"Z0140C0","市高往東  新生建國",73.97345,10,226,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-04-28,"17_00"
"6",6,"Z0140C1","市高往東  建國復興",67.24324,10,229.5,1,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-04-28,"17_00"
"7",7,"Z0150C0","市高往東  復興敦化",66.49853,11.666666,339,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-04-28,"17_00"
"8",8,"Z0150C1","市高往東  敦化上方",72.65169,2.8,178.5,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-04-28,"17_00"
"9",9,"Z0150C2","市高往東  敦化延吉",69.56579,9.066667,305,1,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-04-28,"17_00"
"10",10,"Z0160C0","市高往東  延吉永吉",72.59722,9.166667,144,1,121.557631047561,25.0447609827095,121.569229955283,25.0455460393449,2016-04-28,"17_00"
"11",11,"Z0380F0","正氣橋  麥一市民",71.14815,2.1,54,0,121.569772042499,25.0461890146634,121.569771009262,25.0459439976653,2016-04-28,"17_00"
"12",12,"Z0390G0","市高往西  永吉光復",66.808334,10.9,240,0,121.569771009262,25.0459439976653,121.567512021271,25.0458909827904,2016-04-28,"17_00"
"13",13,"Z03A0G1","市高往西  光復延吉",57.9215,17.3,293.5,1,121.567512021271,25.0458909827904,121.557667048171,25.0454680148637,2016-04-28,"17_00"
"14",14,"Z03B0G0","市高往西  延吉復興",76.41137,6.4,302,0,121.557667048171,25.0454680148637,121.536126020332,25.0450250384754,2016-04-28,"17_00"
"15",15,"Z03C0G0","市高往西  復興建國",63,8.3,226,1,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-04-28,"17_00"
"16",16,"Z03C0G1","市高往西  建國新生",70.77625,9.5,219,1,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-04-28,"17_00"
"17",17,"Z03D0G1","市高往西  林森中山",41.173782,14.2,334.5,2,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-04-28,"17_00"
"18",18,"Z03E0G0","市高往西  承德重慶",41.194656,18.5,265.5,2,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-04-28,"17_00"
"19",19,"Z03E0G1","市高往西  重慶中華",45.270992,15,267,1,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-04-28,"17_00"
"20",20,"Z5062G0","市高往西  中華環河",47,15,121,1,121.507228991091,25.0510220354424,121.497868957546,25.0400649616175,2016-04-28,"17_00"
"21",21,"Z1001B0","建國快往北 辛亥高架接建高",94.584,4.3,125,0,121.536995038696,25.0228289705983,121.53770600753,25.0229289599307,2016-04-28,"17_00"
"22",22,"Z1010A0","建國快往北 辛亥信義",70.45806,12.466666,332.5,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-04-28,"17_00"
"23",23,"Z1010A1","建國快往北 和平信義",70.82258,9,255,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-04-28,"17_00"
"24",24,"Z1011A0","建國快往北 信義路上匝道",41.06349,8.4,63.5,0,121.537818032218,25.0344000079271,121.53806600958,25.0355689692847,2016-04-28,"17_00"
"25",25,"Z1020A0","建國快往北 信義仁愛",61.767975,10.733333,306,0,121.53806600958,25.0355689692847,121.537962958846,25.0357070206232,2016-04-28,"17_00"
"26",26,"Z1030A0","建國快往北 仁愛忠孝",56.96104,10.133333,234,1,121.537962958846,25.0357070206232,121.53712002298,25.0420240374186,2016-04-28,"17_00"
"27",27,"Z1040A0","建國快往北 忠孝長安",61.095238,17.666668,413.5,0,121.53712002298,25.0420240374186,121.536836031321,25.0460820090283,2016-04-28,"17_00"
"28",28,"Z1050A0","建國快往北 南京東路",69.5125,5.4000006,241.5,0,121.537031988413,25.0497290015224,121.536885031022,25.0495280262993,2016-04-28,"17_00"
"29",29,"Z1060A0","建國快往北 南京民權",68.5921,11.6,309,0,121.536885031022,25.0495280262993,121.537105027258,25.061757993861,2016-04-28,"17_00"
"30",30,"Z1070A0","建國快往北 民權民族",67.94172,21.1,367.5,0,121.537105027258,25.061757993861,121.534361045097,25.0672949565866,2016-04-28,"17_00"
"31",31,"Z1080A0","建國快往北 民族濱江",67.797104,7.9,139.5,0,121.534361045097,25.0672949565866,121.533422973875,25.0689429692608,2016-04-28,"17_00"
"32",32,"Z10D2A0","建國快往北 民權東路下匝道",55.076923,8.6,78.5,0,121.537105027258,25.061757993861,121.537488045992,25.06147096043,2016-04-28,"17_00"
"33",33,"Z10E2A0","建國快往北 南京東路下匝道",46.759037,9.8,83,0,121.537031988413,25.0497290015224,121.537171960091,25.050782973455,2016-04-28,"17_00"
"34",34,"Z1210E0","建國快往南 濱江民權",41.76639,26.2,264.5,1,121.533418991878,25.0689390112276,121.53435399476,25.0672920027059,2016-04-28,"17_00"
"35",35,"Z1220E0","建國快往南 民權東路",69.49056,14.6,271,0,121.53435399476,25.0672920027059,121.536693985588,25.0612780140168,2016-04-28,"17_00"
"36",36,"Z1221E0","建國快往南 民權上匝道",37.698414,7.4,63,0,121.536437036293,25.0617689851535,121.536693985588,25.0612780140168,2016-04-28,"17_00"
"37",37,"Z1230E0","建國快往南 民權長春",70.598785,12.333333,341.5,0,121.536693985588,25.0612780140168,121.536592989789,25.0533579739567,2016-04-28,"17_00"
"38",38,"Z1231E0","建國快往南 長春路上匝道",47.822582,7,62,0,121.536882030345,25.0561880388567,121.536592989789,25.0533579739567,2016-04-28,"17_00"
